Subject,CreditValues 
Retail manager,r
Ecologist,A
"Research officer, political party",L
"Teacher, adult education",s
Hydrographic surveyor,T
"Surveyor, building control",M
Chartered accountant,q
"Surveyor, mining",i
Ecologist,a
Control and instrumentation engineer,T
Retail merchandiser,J
"Teacher, English as a foreign language",Q
"Social research officer, government",k
Purchasing manager,s
Personal assistant,z
Catering manager,L
"Engineer, maintenance",J
Soil scientist,W
Broadcast presenter,s
Social worker,l
Microbiologist,K
Tourist information centre manager,v
"Teacher, early years/pre",W
Meteorologist,r
Charity officer,e
Geophysical data processor,z
Data processing manager,u
"Physicist, medical",I
"Accountant, chartered certified",o
Cabin crew,e
Herbalist,w
Hydrogeologist,v
Field trials officer,s
Environmental consultant,f
Air traffic controller,y
Sports administrator,S
Dance movement psychotherapist,Z
"Therapist, drama",q
"Horticulturist, amenity",g
Education administrator,a
"Scientist, marine",q
Civil Service administrator,y
Television floor manager,s
Advertising account executive,S
Counselling psychologist,X
"Surveyor, planning and development",k
Technical author,F
Magazine features editor,R
Fashion designer,G
Solicitor,n
Film/video editor,e
Fisheries officer,B
Quality manager,H
Haematologist,K
"Conservator, museum/gallery",N
IT technical support officer,B
Advertising account planner,I
"Administrator, arts",z
Training and development officer,m
Office manager,Y
Emergency planning/management officer,q
Research scientist (life sciences),I
Printmaker,a
Research scientist (life sciences),g
"Surveyor, building control",l
Secretary/administrator,S
Museum/gallery curator,e
"Horticulturist, commercial",c
Travel agency manager,q
Emergency planning/management officer,B
"Scientist, research (medical)",n
Insurance underwriter,J
Print production planner,Z
Medical laboratory scientific officer,F
Research scientist (medical),N
Product designer,i
"Scientist, clinical (histocompatibility and immunogenetics)",L
"Scientist, water quality",u
Sports development officer,T
"Social research officer, government",w
"Engineer, automotive",H
Graphic designer,M
Accounting technician,g
"Pilot, airline",e
"Teacher, secondary school",J
Museum/gallery exhibitions officer,H
Politician's assistant,C
Paediatric nurse,c
Farm manager,n
Land,C
Senior tax professional/tax inspector,v
Purchasing manager,z
Set designer,y
Musician,Q
Equities trader,k
Video editor,v
"Administrator, local government",O
"Designer, blown glass/stained glass",L
Hospital doctor,q
Media planner,k
Radiation protection practitioner,p
"Therapist, music",B
Phytotherapist,u
Communications engineer,D
Insurance claims handler,k
Health and safety adviser,a
"Chemist, analytical",o
Higher education careers adviser,I
Public relations account executive,x
"Administrator, education",z
Brewing technologist,F
"Education officer, museum",g
Theatre manager,U
Insurance claims handler,q
Freight forwarder,w
Housing manager/officer,D
Economist,y
"Social research officer, government",L
Acupuncturist,b
Armed forces technical officer,q
Educational psychologist,x
Food technologist,B
Dance movement psychotherapist,R
Fisheries officer,a
Retail banker,u
Barrister,B
"Buyer, industrial",h
"Engineer, chemical",D
"Accountant, chartered",m
"Designer, fashion/clothing",j
"Editor, film/video",l
"Optician, dispensing",Z
Hydrographic surveyor,U
"Designer, graphic",K
Agricultural consultant,S
Optometrist,h
Special effects artist,H
Human resources officer,d
"Research officer, trade union",K
Community education officer,N
Seismic interpreter,r
Environmental consultant,u
"Development worker, community",u
Chartered public finance accountant,C
Conference centre manager,P
TEFL teacher,I
Ophthalmologist,x
Mental health nurse,o
Quality manager,K
Oceanographer,m
"Therapist, nutritional",d
"Designer, blown glass/stained glass",X
Ranger/warden,z
Community development worker,C
Claims inspector/assessor,y
Exercise physiologist,J
Lawyer,q
Diagnostic radiographer,g
Outdoor activities/education manager,z
Geophysicist/field seismologist,T
Broadcast engineer,B
"Radiographer, therapeutic",i
Press photographer,H
Oncologist,T
"Engineer, production",J
Print production planner,F
"Lecturer, further education",x
"Librarian, academic",o
Health service manager,X
Toxicologist,Q
Data processing manager,O
Analytical chemist,V
Ecologist,V
Occupational psychologist,b
Radiation protection practitioner,F
Intelligence analyst,V
Audiological scientist,S
"Copywriter, advertising",Z
Water quality scientist,o
Ranger/warden,n
"Psychologist, occupational",U
Arboriculturist,i
Lawyer,g
Interpreter,P
Occupational therapist,a
Food technologist,s
"Designer, interior/spatial",Z
Financial planner,T
Financial trader,K
"Administrator, sports",O
Paramedic,c
Local government officer,o
Energy engineer,N
Broadcast engineer,R
Toxicologist,N
"Designer, blown glass/stained glass",N
"Pharmacist, community",R
Customer service manager,u
"Development worker, international aid",C
Research scientist (medical),e
Gaffer,b
Water engineer,w
"Horticulturist, commercial",j
Data processing manager,u
Clothing/textile technologist,B
Physiotherapist,t
Banker,B
Surgeon,f
"Designer, furniture",e
Emergency planning/management officer,j
Sub,y
"Engineer, water",i
IT technical support officer,Y
Clinical embryologist,s
Ecologist,H
Counselling psychologist,F
"Merchandiser, retail",E
"Teacher, secondary school",M
Biomedical scientist,i
Accommodation manager,C
Magazine features editor,O
Arts administrator,W
Analytical chemist,i
Recycling officer,M
Risk analyst,x
"Engineer, electronics",R
Counselling psychologist,y
Television production assistant,w
"Doctor, hospital",l
Pathologist,U
Garment/textile technologist,Y
Management consultant,c
"Surveyor, land/geomatics",v
"Engineer, building services",q
IT sales professional,M
Bookseller,d
Web designer,j
Tax inspector,O
Illustrator,P
"Production assistant, television",d
Publishing copy,G
"Pharmacist, community",u
"Engineer, maintenance",m
"Administrator, charities/voluntary organisations",F
"Therapist, horticultural",A
"Surveyor, hydrographic",P
Technical brewer,E
Conference centre manager,r
"Engineer, mining",g
Lexicographer,D
Advertising art director,O
Insurance claims handler,L
"Engineer, energy",x
Copy,m
Dietitian,k
Academic librarian,t
Holiday representative,q
"Solicitor, Scotland",d
"Restaurant manager, fast food",A
Scientific laboratory technician,o
Insurance risk surveyor,X
Maintenance engineer,x
Haematologist,X
"Designer, jewellery",L
"Accountant, chartered management",d
Land/geomatics surveyor,a
Research scientist (medical),V
Pensions consultant,i
"Editor, magazine features",a
"Teacher, special educational needs",c
IT technical support officer,n
Community arts worker,Z
Community pharmacist,j
"Therapist, music",k
"Restaurant manager, fast food",g
Advertising account planner,w
Estate agent,g
Health physicist,x
Tourism officer,u
"Administrator, arts",m
"Surveyor, insurance",a
"Administrator, sports",t
Air traffic controller,a
"Geneticist, molecular",Q
Secretary/administrator,s
IT sales professional,u
Music tutor,Q
Lawyer,G
Call centre manager,o
Retail manager,B
Horticultural therapist,a
"Buyer, industrial",c
"Designer, multimedia",O
Dispensing optician,A
Health and safety adviser,X
"Engineer, water",y
"Accountant, chartered",m
"Psychologist, sport and exercise",y
Sports coach,D
"Surveyor, building",d
Fitness centre manager,c
Advertising account executive,s
"Journalist, magazine",f
Publishing copy,X
Medical secretary,h
Radio producer,R
"Designer, blown glass/stained glass",n
"Therapist, music",h
"Engineer, maintenance",Q
Hotel manager,C
Communications engineer,X
"Librarian, public",J
Surgeon,V
"Scientist, product/process development",L
"Teacher, special educational needs",a
Product/process development scientist,D
"Surveyor, quantity",H
"Scientist, research (maths)",J
"Surveyor, rural practice",m
"Engineer, manufacturing systems",L
Economist,r
Archivist,T
"Administrator, local government",p
Probation officer,U
Textile designer,v
English as a foreign language teacher,x
General practice doctor,c
"Accountant, chartered management",X
"Surveyor, rural practice",x
Podiatrist,V
Forensic psychologist,y
Government social research officer,b
"Engineer, communications",l
Technical sales engineer,W
Field seismologist,i
Technical author,w
Energy engineer,a
Stage manager,D
"Psychologist, clinical",q
Museum/gallery curator,J
"Nurse, adult",M
Sport and exercise psychologist,R
Passenger transport manager,M
Armed forces operational officer,Z
"Geneticist, molecular",G
Chemical engineer,q
Speech and language therapist,q
"Engineer, civil (contracting)",R
Wellsite geologist,Q
Multimedia specialist,Z
Technical brewer,N
"Engineer, petroleum",p
Volunteer coordinator,z
Charity officer,F
Graphic designer,x
Dietitian,f
Scientific laboratory technician,f
"Scientist, marine",O
"Psychologist, educational",X
"Engineer, land",N
"Designer, exhibition/display",F
Economist,f
Gaffer,q
Corporate investment banker,B
Archaeologist,V
"Chemist, analytical",t
Social researcher,k
Surgeon,z
Occupational hygienist,R
Licensed conveyancer,O
"Scientist, forensic",Q
Event organiser,s
Medical secretary,P
Politician's assistant,h
Geoscientist,g
Music therapist,v
Production engineer,B
Health service manager,X
"Surveyor, minerals",A
Corporate treasurer,P
"Psychotherapist, dance movement",z
Advertising account planner,i
Community arts worker,g
Furniture designer,T
Museum/gallery conservator,e
Aeronautical engineer,W
Musician,D
Publishing rights manager,v
Building control surveyor,O
"Designer, textile",V
Diagnostic radiographer,A
Lawyer,v
Museum/gallery conservator,s
Homeopath,w
"Surveyor, planning and development",f
Metallurgist,d
Health physicist,C
"Engineer, site",s
Brewing technologist,K
Media buyer,l
IT consultant,b
IT trainer,K
Counselling psychologist,Q
Medical physicist,B
Print production planner,o
"Psychologist, forensic",z
Gaffer,s
Hydrographic surveyor,p
Contracting civil engineer,c
"Geologist, wellsite",R
Television floor manager,a
"Psychologist, forensic",L
"Surveyor, mining",F
Chartered management accountant,c
"Engineer, chemical",h
"Engineer, chemical",M
Banker,h
Science writer,b
Volunteer coordinator,G
"Scientist, marine",K
Media buyer,G
Human resources officer,u
Optometrist,h
Police officer,C
Telecommunications researcher,M
Data processing manager,j
Charity officer,f
Tourist information centre manager,l
Medical laboratory scientific officer,C
"Administrator, Civil Service",N
Conference centre manager,I
Community development worker,i
Intelligence analyst,c
Forensic scientist,o
Contracting civil engineer,s
Astronomer,C
Food technologist,K
"Editor, commissioning",y
Personnel officer,S
Field seismologist,u
Clinical biochemist,v
Theme park manager,o
Aid worker,X
Dancer,a
Database administrator,m
Financial controller,f
Plant breeder/geneticist,i
"Psychologist, sport and exercise",M
"Geneticist, molecular",u
Armed forces technical officer,c
"Teacher, English as a foreign language",o
"Scientist, water quality",i
Sport and exercise psychologist,S
Network engineer,W
Financial risk analyst,X
Systems analyst,u
"Buyer, retail",E
Psychotherapist,b
"Sales professional, IT",K
Senior tax professional/tax inspector,o
Art gallery manager,v
Medical physicist,T
Quality manager,W
"Engineer, maintenance",J
"Psychotherapist, child",i
Psychotherapist,F
Translator,v
Health and safety adviser,T
"Engineer, control and instrumentation",V
"Therapist, drama",I
"Engineer, water",a
"Engineer, manufacturing",q
Dancer,m
Actuary,d
"Therapist, horticultural",m
Herbalist,x
Tax inspector,I
Ambulance person,I
Environmental consultant,C
Insurance claims handler,Q
"Therapist, occupational",U
Publishing copy,k
Insurance account manager,Y
Leisure centre manager,B
"Accountant, chartered certified",w
"Administrator, charities/voluntary organisations",R
Estate agent,V
Psychiatrist,C
"Engineer, electrical",j
Geophysicist/field seismologist,A
Graphic designer,a
IT sales professional,i
"Psychologist, educational",W
Learning mentor,j
Recycling officer,Q
"Geologist, wellsite",x
"Nurse, children's",H
"Presenter, broadcasting",T
Chemical engineer,L
Legal executive,V
Health promotion specialist,O
Building services engineer,B
Land/geomatics surveyor,P
"Secretary, company",V
Training and development officer,b
"Administrator, sports",H
"Accountant, chartered public finance",J
IT technical support officer,q
Financial manager,y
"Psychologist, prison and probation services",w
Accounting technician,a
Arts administrator,a
Television camera operator,c
Careers information officer,P
"Scientist, clinical (histocompatibility and immunogenetics)",i
Travel agency manager,G
"Accountant, chartered public finance",K
"Engineer, aeronautical",Y
Aeronautical engineer,v
"Conservator, furniture",J
"Scientist, research (maths)",C
Stage manager,U
Retail buyer,i
Civil Service fast streamer,r
Planning and development surveyor,a
Actor,X
Lobbyist,h
"Psychologist, occupational",c
Multimedia specialist,Q
"Teacher, adult education",G
Clinical embryologist,v
Biomedical scientist,I
Research scientist (medical),Y
"Engineer, mining",y
Advice worker,n
"Designer, exhibition/display",b
Human resources officer,v
Accommodation manager,O
"Psychologist, clinical",e
"Sound technician, broadcasting/film/video",H
Historic buildings inspector/conservation officer,X
Newspaper journalist,s
Psychiatric nurse,c
"Production assistant, radio",x
Dealer,C
"Therapist, horticultural",q
"Nurse, children's",c
"Librarian, public",T
Bonds trader,B
Scientific laboratory technician,w
Lawyer,p
Tax inspector,S
Holiday representative,c
"Biochemist, clinical",B
Technical author,v
Art gallery manager,m
Information officer,y
Media buyer,V
"Research officer, trade union",d
"Teacher, music",g
Legal executive,c
Textile designer,a
Agricultural consultant,z
Health promotion specialist,q
Network engineer,K
Scientific laboratory technician,K
Tourism officer,L
Financial risk analyst,D
"Lecturer, higher education",A
Theme park manager,o
Soil scientist,f
Broadcast presenter,Q
Animal technologist,k
Education administrator,u
Animal nutritionist,M
Tourist information centre manager,H
"Pilot, airline",F
Legal executive,L
Database administrator,n
"Engineer, automotive",H
Landscape architect,V
Dramatherapist,y
Immunologist,n
Museum/gallery curator,D
"Loss adjuster, chartered",B
Research scientist (maths),g
"Engineer, structural",V
Tax inspector,c
Fisheries officer,z
Fish farm manager,m
"Engineer, materials",F
Chiropodist,i
Exercise physiologist,X
Systems developer,t
Web designer,j
Consulting civil engineer,Z
"Production assistant, radio",B
"Exhibitions officer, museum/gallery",Z
Glass blower/designer,J
"Nurse, adult",v
Manufacturing systems engineer,Z
Learning disability nurse,R
Tourism officer,V
Colour technologist,B
Press sub,a
"Engineer, automotive",z
Graphic designer,P
Tax inspector,S
Airline pilot,E
Market researcher,F
Solicitor,F
Land,o
Police officer,s
Chiropractor,A
Marketing executive,I
Emergency planning/management officer,f
Chartered management accountant,c
"Engineer, structural",J
"Psychologist, forensic",S
Clinical embryologist,X
Occupational therapist,Y
"Surveyor, planning and development",c
Oceanographer,b
"Nurse, mental health",f
Restaurant manager,g
Dramatherapist,M
Statistician,k
Occupational psychologist,H
Optometrist,g
"Designer, television/film set",x
Multimedia specialist,d
Astronomer,d
"Restaurant manager, fast food",t
Water engineer,W
"Surveyor, building",S
Musician,V
"Scientist, clinical (histocompatibility and immunogenetics)",X
Licensed conveyancer,h
Pathologist,M
Marketing executive,Y
Geophysicist/field seismologist,b
Hospital pharmacist,q
Social researcher,e
"Producer, television/film/video",j
"Therapist, horticultural",F
Police officer,f
"Nurse, children's",b
Medical sales representative,k
Dietitian,H
"Secretary, company",o
Recruitment consultant,d
Occupational psychologist,A
Veterinary surgeon,w
"Designer, multimedia",L
Community education officer,p
"Administrator, charities/voluntary organisations",x
Visual merchandiser,N
Wellsite geologist,F
"Development worker, community",Z
"Designer, fashion/clothing",O
Financial planner,R
"Exhibitions officer, museum/gallery",A
Dentist,l
Charity officer,Z
Youth worker,G
Health and safety adviser,Q
"Programmer, applications",N
Acupuncturist,U
Petroleum engineer,B
"Therapist, speech and language",u
Diagnostic radiographer,Q
Therapeutic radiographer,U
Technical sales engineer,f
Politician's assistant,t
"Designer, multimedia",F
"Psychologist, clinical",Q
Estate manager/land agent,t
"Geneticist, molecular",n
"Merchandiser, retail",h
Water quality scientist,L
Barrister,w
Training and development officer,A
Operational investment banker,C
"Administrator, education",y
Actor,h
"Surveyor, commercial/residential",i
"Teacher, English as a foreign language",W
Company secretary,J
"Education officer, environmental",M
Newspaper journalist,q
Health visitor,s
Sales executive,E
Hydrologist,G
"Teacher, special educational needs",X
Records manager,b
Telecommunications researcher,e
Civil Service fast streamer,k
"Therapist, drama",D
Seismic interpreter,N
Building surveyor,g
Chiropodist,r
Physiotherapist,B
Multimedia programmer,K
"Development worker, community",M
Mental health nurse,q
Microbiologist,G
Conference centre manager,q
"Surveyor, building",e
Primary school teacher,Z
Recycling officer,E
Energy manager,z
Statistician,a
Merchant navy officer,A
Telecommunications researcher,L
Office manager,v
Purchasing manager,p
Tour manager,t
Best boy,M
"Surveyor, quantity",q
"Surveyor, planning and development",C
Microbiologist,N
Advice worker,n
Theme park manager,Z
Education administrator,P
Customer service manager,C
Geochemist,j
"Psychotherapist, dance movement",C
"Librarian, academic",Y
Chartered accountant,j
"Librarian, academic",y
Town planner,g
"Engineer, mining",t
Broadcast engineer,e
Commercial/residential surveyor,o
"Engineer, building services",j
Biomedical engineer,C
"Lecturer, further education",S
Personnel officer,D
Homeopath,I
Administrator,m
Tourism officer,v
Oceanographer,Q
Clinical research associate,U
Hydrographic surveyor,b
"Accountant, chartered certified",q
Chartered management accountant,t
"Accountant, chartered public finance",Y
"Secretary, company",Y
Computer games developer,p
Cartographer,Z
Research scientist (life sciences),b
"Surveyor, insurance",r
Chiropractor,x
Meteorologist,i
Risk manager,q
"Investment banker, corporate",x
"Secretary, company",z
Osteopath,v
Technical sales engineer,t
Prison officer,a
"Designer, blown glass/stained glass",A
"Engineer, communications",Y
"Embryologist, clinical",I
"Engineer, automotive",q
Clinical psychologist,J
Occupational therapist,x
Visual merchandiser,M
Geophysicist/field seismologist,O
Ship broker,c
Orthoptist,d
Armed forces training and education officer,w
Estate agent,y
"Surveyor, mining",k
"Psychotherapist, dance movement",f
Actuary,b
Land,s
"Research officer, political party",z
Restaurant manager,S
Animator,a
Company secretary,G
Make,o
Medical laboratory scientific officer,A
Pharmacologist,q
Medical technical officer,M
Animal technologist,s
"Engineer, civil (consulting)",i
Manufacturing systems engineer,W
Speech and language therapist,K
Furniture conservator/restorer,T
Stage manager,J
"Scientist, product/process development",t
"Civil engineer, contracting",a
"Production designer, theatre/television/film",g
"Producer, radio",I
"Designer, furniture",k
Hydrologist,N
Mining engineer,X
Medical physicist,f
"Designer, industrial/product",z
Multimedia programmer,Z
Commissioning editor,u
Estate agent,w
Research scientist (physical sciences),z
Horticultural therapist,i
Retail merchandiser,h
Education administrator,j
Dealer,T
Community pharmacist,A
Claims inspector/assessor,y
"Doctor, hospital",M
Solicitor,U
Television floor manager,U
"Engineer, manufacturing systems",d
Materials engineer,D
Sports coach,d
Community development worker,N
"Librarian, academic",z
Scientific laboratory technician,T
Tourism officer,A
Cabin crew,l
Barrister,l
Sales executive,n
Trading standards officer,a
Industrial buyer,Z
Secondary school teacher,m
Financial manager,W
Farm manager,Z
Horticultural therapist,N
Museum education officer,k
Passenger transport manager,Q
Haematologist,I
Technical brewer,b
"Scientist, forensic",s
Actuary,b
"Runner, broadcasting/film/video",O
Adult guidance worker,C
"Therapist, drama",Q
Adult nurse,x
Multimedia specialist,v
Academic librarian,K
Mental health nurse,C
Soil scientist,Z
English as a foreign language teacher,V
Passenger transport manager,N
Optometrist,V
Recruitment consultant,y
Medical laboratory scientific officer,h
Web designer,L
Therapeutic radiographer,g
Banker,R
Diplomatic Services operational officer,M
"Social research officer, government",G
"Engineer, materials",a
Insurance underwriter,R
Interior and spatial designer,m
Diplomatic Services operational officer,k
Social worker,a
"Surveyor, hydrographic",R
Midwife,C
Radiation protection practitioner,D
Land,k
Clinical molecular geneticist,h
"Psychologist, forensic",d
Location manager,D
"Civil engineer, contracting",H
Manufacturing engineer,b
Personnel officer,P
Estate agent,Q
Community education officer,n
Hotel manager,x
Air broker,b
Public librarian,v
Advertising account planner,W
"Therapist, sports",a
Metallurgist,V
"Engineer, petroleum",O
Insurance broker,E
Colour technologist,E
"Accountant, chartered",a
Community education officer,T
Human resources officer,G
Outdoor activities/education manager,A
Community education officer,m
"Secretary, company",f
"Administrator, local government",z
"Research officer, government",U
Public house manager,v
Field trials officer,H
Tourism officer,H
"Engineer, petroleum",c
"Development worker, international aid",B
Water engineer,O
Dancer,X
Civil Service fast streamer,k
Pharmacologist,Z
Medical sales representative,S
Immunologist,u
Warehouse manager,r
Counsellor,k
"Scientist, biomedical",O
Marketing executive,K
"Designer, jewellery",Y
"Horticulturist, commercial",m
"Engineer, production",i
"Programmer, multimedia",i
Merchant navy officer,N
Community pharmacist,F
Tourism officer,x
Training and development officer,u
Publishing rights manager,w
"Therapist, nutritional",R
Human resources officer,I
Copy,p
Publishing copy,F
"Education officer, environmental",L
Horticultural therapist,U
Air broker,K
Clinical embryologist,C
Dentist,E
Acupuncturist,v
Theatre director,z
"Engineer, petroleum",z
Careers information officer,a
Clinical embryologist,x
"Geneticist, molecular",g
Museum/gallery curator,T
"Engineer, land",h
Early years teacher,e
Animator,t
"Lighting technician, broadcasting/film/video",O
"Journalist, magazine",l
"Scientist, research (medical)",v
Company secretary,n
Tourist information centre manager,j
Publishing copy,y
"Surveyor, planning and development",J
Theatre stage manager,u
Geochemist,A
"Lecturer, further education",D
Waste management officer,s
Catering manager,X
Tax inspector,r
"Optician, dispensing",b
"Scientist, research (maths)",H
Location manager,c
Historic buildings inspector/conservation officer,j
Information systems manager,m
Public librarian,k
"Optician, dispensing",M
"Engineer, manufacturing systems",a
Advice worker,L
Consulting civil engineer,W
Chemical engineer,a
Sales executive,O
Minerals surveyor,C
"Scientist, marine",S
Research scientist (physical sciences),a
"Journalist, magazine",Y
Counselling psychologist,J
Educational psychologist,j
Music therapist,l
Air traffic controller,S
Counsellor,X
"Horticulturist, commercial",n
"Development worker, international aid",w
Banker,K
Licensed conveyancer,G
Building services engineer,O
IT trainer,G
English as a foreign language teacher,N
"Clinical scientist, histocompatibility and immunogenetics",l
Clinical biochemist,f
Armed forces logistics/support/administrative officer,N
Furniture designer,u
"Sales professional, IT",x
"Surveyor, land/geomatics",L
"Designer, jewellery",h
Sales promotion account executive,B
Armed forces operational officer,d
Licensed conveyancer,x
Midwife,m
"Surveyor, building control",l
Surgeon,W
"Surveyor, insurance",I
Product/process development scientist,t
"Sales professional, IT",p
"Journalist, broadcasting",r
"Scientist, product/process development",B
"Therapist, horticultural",t
Music therapist,D
Broadcast engineer,W
Seismic interpreter,V
Theme park manager,Z
Retail manager,W
Land,h
Best boy,q
"Geologist, wellsite",Z
Optometrist,V
Video editor,l
Advice worker,W
Brewing technologist,K
"Engineer, petroleum",e
"Therapist, music",P
Field trials officer,y
"Presenter, broadcasting",s
International aid/development worker,T
Careers adviser,q
Museum/gallery conservator,U
Fine artist,j
Educational psychologist,I
Network engineer,L
"Editor, magazine features",T
Tourism officer,k
"Therapist, occupational",z
Financial trader,I
TEFL teacher,C
Medical sales representative,K
"Sound technician, broadcasting/film/video",k
Broadcast journalist,i
Podiatrist,J
Seismic interpreter,D
"Surveyor, insurance",U
Research scientist (maths),B
IT sales professional,q
Social worker,v
"Exhibitions officer, museum/gallery",R
Archaeologist,Q
Estate manager/land agent,F
Sales executive,D
Building control surveyor,K
Advice worker,R
Equality and diversity officer,x
"Engineer, communications",i
"Teacher, music",F
"Nurse, adult",j
"Lecturer, further education",z
Lawyer,v
"Programmer, applications",p
Chartered public finance accountant,y
Probation officer,Z
Firefighter,I
"Engineer, manufacturing systems",S
Public relations officer,h
Mechanical engineer,P
Operations geologist,R
Heritage manager,C
Passenger transport manager,C
Environmental consultant,c
Oncologist,V
Heritage manager,K
Academic librarian,K
Naval architect,c
Product/process development scientist,d
Learning mentor,B
Risk manager,K
Clinical psychologist,V
Leisure centre manager,x
Translator,e
"Administrator, charities/voluntary organisations",K
IT technical support officer,Y
Corporate treasurer,o
Retail manager,j
Ophthalmologist,b
Warehouse manager,j
Electronics engineer,V
"Surveyor, land/geomatics",h
Tourist information centre manager,g
Make,D
Hospital doctor,X
"Therapist, sports",S
Interpreter,u
Commercial/residential surveyor,u
Patent examiner,p
Medical sales representative,j
Amenity horticulturist,t
Ambulance person,P
"Editor, magazine features",J
"Librarian, public",T
Occupational psychologist,J
Hydrogeologist,I
"Surveyor, minerals",o
Land,k
Electrical engineer,Q
Acupuncturist,z
Trading standards officer,H
Theatre director,M
Primary school teacher,W
"Psychologist, counselling",y
Advertising copywriter,D
Prison officer,W
Air cabin crew,K
Research scientist (physical sciences),D
Gaffer,w
Artist,K
"Teacher, English as a foreign language",n
"Secretary, company",S
"Engineer, chemical",k
"Runner, broadcasting/film/video",B
Cabin crew,i
Energy engineer,K
Youth worker,k
"Research officer, political party",q
Location manager,Y
"Teacher, secondary school",O
Manufacturing engineer,U
"Doctor, hospital",b
Environmental health practitioner,K
"Conservator, furniture",I
"Sound technician, broadcasting/film/video",P
"Designer, multimedia",O
Horticultural therapist,H
Conference centre manager,l
Manufacturing engineer,H
Artist,O
"Sales professional, IT",D
"Conservation officer, historic buildings",H
IT sales professional,g
Commercial horticulturist,c
Dancer,t
Physiotherapist,K
"Engineer, structural",n
Ship broker,n
Aid worker,B
Proofreader,E
"Sales professional, IT",C
Animator,c
"Investment banker, operational",K
Haematologist,l
Stage manager,O
Jewellery designer,I
IT consultant,p
"Engineer, broadcasting (operations)",o
Claims inspector/assessor,w
Hydrographic surveyor,e
Retail buyer,M
Tourist information centre manager,n
Industrial buyer,D
Ranger/warden,H
Higher education careers adviser,H
"Designer, graphic",S
Hydrographic surveyor,p
Speech and language therapist,a
"Biochemist, clinical",L
Purchasing manager,C
Manufacturing engineer,F
Data processing manager,W
Geophysical data processor,d
Press sub,w
"Buyer, retail",A
"Scientist, research (physical sciences)",i
"Development worker, international aid",N
Radio broadcast assistant,s
Photographer,B
Water quality scientist,G
Youth worker,n
"Scientist, research (maths)",X
"Geologist, engineering",e
"Engineer, energy",K
Occupational hygienist,y
"Accountant, chartered",L
"Administrator, local government",B
Personnel officer,j
Restaurant manager,U
"Horticulturist, amenity",I
Housing manager/officer,h
English as a second language teacher,S
Camera operator,r
"Sales professional, IT",S
"Clinical scientist, histocompatibility and immunogenetics",O
Licensed conveyancer,A
Astronomer,J
Sales executive,v
Learning mentor,C
Materials engineer,R
Public relations officer,j
Furniture designer,r
Ambulance person,H
Barrister,z
Land,d
Sports coach,F
International aid/development worker,P
"Engineer, civil (contracting)",W
International aid/development worker,D
Toxicologist,i
"Secretary, company",W
Retail merchandiser,H
Higher education lecturer,v
Music therapist,G
"Surveyor, rural practice",k
Statistician,e
Armed forces training and education officer,i
Insurance underwriter,p
Travel agency manager,y
"Journalist, magazine",S
"Investment banker, operational",B
Advertising copywriter,E
Lawyer,W
Management consultant,Q
Ranger/warden,Z
"Teacher, adult education",K
Research scientist (maths),r
"Engineer, water",n
Mudlogger,b
Sports administrator,R
Government social research officer,t
"Doctor, hospital",D
"Clinical scientist, histocompatibility and immunogenetics",V
"Geneticist, molecular",d
"Lecturer, higher education",D
"Engineer, civil (contracting)",E
Armed forces training and education officer,v
"Editor, magazine features",M
Barrister's clerk,V
Patent attorney,G
"Journalist, broadcasting",z
Research scientist (physical sciences),I
Financial controller,x
Chartered legal executive (England and Wales),y
"Solicitor, Scotland",U
Fisheries officer,h
Emergency planning/management officer,H
Control and instrumentation engineer,A
Editorial assistant,m
Lobbyist,s
"Conservator, furniture",y
Information officer,s
Clinical research associate,Z
"Psychologist, occupational",m
"Teacher, primary school",B
Building surveyor,O
"Librarian, public",o
Paramedic,V
Conference centre manager,b
Technical author,o
Environmental consultant,j
Chartered public finance accountant,B
Personal assistant,y
Physiotherapist,z
Facilities manager,x
"Engineer, materials",x
Cabin crew,h
"Clinical scientist, histocompatibility and immunogenetics",k
Energy engineer,m
"Therapist, art",D
Information systems manager,O
Therapeutic radiographer,M
"Engineer, civil (consulting)",E
Barrister,k
Make,z
"Engineer, agricultural",T
Clinical cytogeneticist,I
Corporate treasurer,g
Production manager,Y
"Therapist, horticultural",D
Insurance underwriter,X
Hospital pharmacist,S
Consulting civil engineer,y
Furniture conservator/restorer,t
Fish farm manager,w
Financial planner,Z
Prison officer,H
Broadcast journalist,O
Surgeon,N
Secretary/administrator,W
"Geologist, wellsite",C
"Research officer, government",I
Illustrator,t
Translator,y
Management consultant,S
Statistician,Y
Chemical engineer,g
Speech and language therapist,c
"Horticulturist, amenity",E
Art therapist,W
Arboriculturist,n
Public relations officer,J
"Engineer, biomedical",p
Health service manager,h
Paediatric nurse,W
Oceanographer,H
Tree surgeon,V
"Nurse, mental health",y
"Optician, dispensing",H
Osteopath,j
Financial manager,x
"Engineer, site",t
General practice doctor,B
"Teacher, special educational needs",z
Historic buildings inspector/conservation officer,T
Counselling psychologist,H
"Engineer, structural",Z
Risk analyst,Z
Video editor,V
Field trials officer,n
Data processing manager,V
Chiropractor,k
Theme park manager,o
"Conservator, museum/gallery",T
"Therapist, music",w
Ceramics designer,G
Dancer,I
Engineering geologist,E
Newspaper journalist,o
Sports coach,B
Legal secretary,r
Probation officer,c
Microbiologist,Y
Television floor manager,r
Geographical information systems officer,I
Quality manager,z
"Horticulturist, commercial",M
Public relations officer,g
